horario,approved,backend_reversed,denied,echo,failed,processing,refunded,reversed
00 00,15.0,,8.0,,,,,
00 01,9.0,,6.0,,,,1.0,
00 02,18.0,,5.0,3.0,,,1.0,
00 03,11.0,,4.0,,,,1.0,
00 04,16.0,,9.0,,,,,
00 05,8.0,,5.0,,,,,
00 06,5.0,,2.0,,,,,
00 07,11.0,,4.0,,,,,
00 08,16.0,,1.0,,,,,
00 09,13.0,,,,,,,
00 10,9.0,,2.0,,,,,
00 11,6.0,1.0,1.0,,,,,
00 12,13.0,,1.0,,,,,
00 13,8.0,,4.0,,,,,
00 14,13.0,,2.0,,,,,
00 15,6.0,,1.0,,,,,
00 16,6.0,,,,,,,
00 17,8.0,,4.0,3.0,,,,
00 18,8.0,,4.0,,,,,
00 19,9.0,,4.0,,,,,
00 20,9.0,,5.0,,,,,
00 21,7.0,1.0,4.0,,,,,
00 22,10.0,,,,,,,
00 23,6.0,,2.0,,,,,
00 24,12.0,,5.0,,,,1.0,
00 25,7.0,,6.0,,,,1.0,
00 26,9.0,,3.0,,,,,
00 27,10.0,,5.0,,,,,
00 28,7.0,,3.0,,,,,
00 29,9.0,,2.0,,,,,
00 30,7.0,,5.0,,,,,
00 31,11.0,,1.0,,,,,
00 32,10.0,,5.0,3.0,,,,
00 33,7.0,,2.0,,,,,
00 34,9.0,,3.0,,,,1.0,
00 35,9.0,,,,,,,
00 36,6.0,,1.0,,,,,
00 37,10.0,,1.0,,,,,
00 38,10.0,,,,,,,1.0
00 39,9.0,,2.0,,,,,
00 40,6.0,,2.0,,,,,
00 41,6.0,,1.0,,,,,
00 42,10.0,,3.0,,,,,
00 43,3.0,,3.0,,,,,
00 44,9.0,,2.0,,,,,
00 45,6.0,,2.0,,,,,
00 46,4.0,,4.0,,,,,
00 47,9.0,,2.0,,,,,
00 48,12.0,,2.0,3.0,,,,
00 49,1.0,,2.0,,,,,
00 50,10.0,,1.0,,,,,
00 51,5.0,,3.0,,,,,
00 52,5.0,,4.0,,,,,
00 53,6.0,,3.0,,,,,
00 54,4.0,,2.0,,,,,
00 55,6.0,,4.0,,,,,1.0
00 56,6.0,,4.0,,,,,
00 57,5.0,,6.0,,,,,
00 58,5.0,,2.0,,,,,
00 59,4.0,,5.0,,,,,
01 00,4.0,,4.0,,,,,
01 01,4.0,,2.0,,,,,
01 02,3.0,,1.0,3.0,,,,
01 03,7.0,,4.0,,,,,
01 04,,,1.0,,,,,
01 05,,,5.0,,,,,
01 06,4.0,,1.0,,,,,
01 07,3.0,,,,,,,1.0
01 08,6.0,,,,,,,
01 09,7.0,,1.0,,,,,
01 10,3.0,,2.0,,,,,
01 11,3.0,,1.0,,,,,
01 12,2.0,,,,,,,
01 13,7.0,,2.0,,,,,
01 14,2.0,,2.0,,,,,
01 15,4.0,,2.0,,,,,
01 16,8.0,,4.0,,,,,
01 17,10.0,,1.0,3.0,,,,
01 18,5.0,,2.0,,,,,
01 19,2.0,,4.0,,,,,1.0
01 20,1.0,,3.0,,,,,
01 21,3.0,,1.0,,,,,
01 22,3.0,,1.0,,,,,
01 23,3.0,,3.0,,,,,
01 24,10.0,,1.0,,,,,
01 25,3.0,,,,,,,
01 26,3.0,,2.0,,,,,
01 27,2.0,,2.0,,,,,
01 28,1.0,,1.0,,,,,
01 29,2.0,,1.0,,,,,
01 30,6.0,,,,,,,
01 31,4.0,,1.0,,,,,
01 32,2.0,,2.0,,,,,
01 33,6.0,,,3.0,,,,
01 34,1.0,,1.0,,,,,
01 35,2.0,,2.0,,,,,
01 36,3.0,,1.0,,,,,
01 37,2.0,,1.0,,,,,
01 38,4.0,,1.0,,,,,
01 39,,,2.0,,,,,
01 40,2.0,,1.0,,,,,
01 41,4.0,,,,,,,
01 42,1.0,,2.0,,,,,
01 43,4.0,,2.0,,,,,
01 44,3.0,,,,,,,
01 45,2.0,,1.0,,,,,
01 46,4.0,,,,,,,
01 47,1.0,,,3.0,,,,
01 48,2.0,,,,,,,
01 49,4.0,,1.0,,,,,
01 50,1.0,,,,,,1.0,
01 51,,,1.0,,,,,
01 52,2.0,,1.0,,,,,
01 53,2.0,,4.0,,,,,
01 54,3.0,,,,,,,
01 55,1.0,,2.0,,,,,
01 56,5.0,,2.0,,,,,
01 57,2.0,,2.0,,,,,
01 58,2.0,,6.0,,,,,
01 59,3.0,,4.0,,,,,
02 00,2.0,,1.0,,,,,1.0
02 01,2.0,,,,,,,
02 02,4.0,,,3.0,,,,
02 03,5.0,,,,,,,
02 04,1.0,,1.0,,,,,
02 05,5.0,,2.0,,,,,
02 06,3.0,,,,,,,
