f0_,status,f1_
00h 00,denied,8
00h 00,approved,15
00h 01,refunded,1
00h 01,denied,6
00h 01,approved,9
00h 02,refunded,1
00h 02,echo,3
00h 02,denied,5
00h 02,approved,18
00h 03,denied,4
00h 03,refunded,1
00h 03,approved,11
00h 04,approved,16
00h 04,denied,9
00h 05,denied,5
00h 05,approved,8
00h 06,approved,5
00h 06,denied,2
00h 07,approved,11
00h 07,denied,4
00h 08,approved,16
00h 08,denied,1
00h 09,approved,13
00h 10,approved,9
00h 10,denied,2
00h 11,approved,6
00h 11,denied,1
00h 11,backend_reversed,1
00h 12,denied,1
00h 12,approved,13
00h 13,denied,4
00h 13,approved,8
00h 14,approved,13
00h 14,denied,2
00h 15,approved,6
00h 15,denied,1
00h 16,approved,6
00h 17,denied,4
00h 17,echo,3
00h 17,approved,8
00h 18,denied,4
00h 18,approved,8
00h 19,approved,9
00h 19,denied,4
00h 20,denied,5
00h 20,approved,9
00h 21,backend_reversed,1
00h 21,denied,4
00h 21,approved,7
00h 22,approved,10
00h 23,approved,6
00h 23,denied,2
00h 24,refunded,1
00h 24,approved,12
00h 24,denied,5
00h 25,denied,6
00h 25,refunded,1
00h 25,approved,7
00h 26,approved,9
00h 26,denied,3
00h 27,denied,5
00h 27,approved,10
00h 28,denied,3
00h 28,approved,7
00h 29,denied,2
00h 29,approved,9
00h 30,approved,7
00h 30,denied,5
00h 31,denied,1
00h 31,approved,11
00h 32,echo,3
00h 32,approved,10
00h 32,denied,5
00h 33,approved,7
00h 33,denied,2
00h 34,refunded,1
00h 34,denied,3
00h 34,approved,9
00h 35,approved,9
00h 36,denied,1
00h 36,approved,6
00h 37,denied,1
00h 37,approved,10
00h 38,approved,10
00h 38,reversed,1
00h 39,approved,9
00h 39,denied,2
00h 40,approved,6
00h 40,denied,2
00h 41,denied,1
00h 41,approved,6
00h 42,approved,10
00h 42,denied,3
00h 43,approved,3
00h 43,denied,3
00h 44,denied,2
00h 44,approved,9
00h 45,denied,2
00h 45,approved,6
00h 46,denied,4
00h 46,approved,4
00h 47,approved,9
00h 47,denied,2
00h 48,denied,2
00h 48,echo,3
00h 48,approved,12
00h 49,denied,2
00h 49,approved,1
00h 50,approved,10
00h 50,denied,1
00h 51,denied,3
00h 51,approved,5
00h 52,approved,5
00h 52,denied,4
00h 53,approved,6
00h 53,denied,3
00h 54,denied,2
00h 54,approved,4
00h 55,denied,4
00h 55,approved,6
00h 55,reversed,1
00h 56,denied,4
00h 56,approved,6
00h 57,approved,5
00h 57,denied,6
00h 58,approved,5
00h 58,denied,2
00h 59,approved,4
00h 59,denied,5
01h 00,approved,4
01h 00,denied,4
01h 01,approved,4
01h 01,denied,2
01h 02,denied,1
01h 02,approved,3
01h 02,echo,3
01h 03,denied,4
01h 03,approved,7
01h 04,denied,1
01h 05,denied,5
01h 06,denied,1
01h 06,approved,4
